area,balcony_direction,house_direction,facade_width,price,interior,legality,bedrooms,bathrooms,floors,title,road_width,price_per_m2
66.0,0,0,0.0,3200.0,1,2,2,1,0,"Bán căn hộ chung cư Ngô Quyền Q5, DT66m2, 2PN, 1WC, tầng thấp, nhà sạch đẹp, giá chốt 3.2 tỷ, SH",0.0,48.484848484848484
69.0,0,0,0.0,4000.0,1,2,2,2,0,"Cần bán gấp căn hộ Monarchy Trần Hưng Đạo, bàn giao full nội thất view sông Hàn",0.0,57.971014492753625
82.0,0,0,0.0,7250.0,2,2,3,2,0,"Chính chủ bán căn 3PN - 2WC 82m2, BC Đông Nam, sổ đỏ, có slot. Giá 7,25 tỷ Hà Nội Center Point",0.0,88.41463414634147
94.0,0,7,0.0,6100.0,2,2,3,2,0,"Cần bán chung cư 87 Lĩnh Nam, diện tích 94m2, giá bán: 6.1 tỷ, liên hệ: 0984 895 ***",0.0,64.8936170212766
66.0,0,0,0.0,6400.0,0,0,2,2,0,"Bán căn hộ chung cư Imperia Garden, Thanh Xuân. DT 66m2 2pn giá 6.4 tỷ. LH: 0983 237 ***",0.0,96.96969696969697
181.0,0,0,5.0,2500.0,0,1,0,0,0,"Chính chủ bán nền 181 m2 full thổ cư, mặt tiền QL1A, P Tân Ngãi, TP Vĩnh Long",0.0,13.812154696132596
109.0,0,0,0.0,7250.0,2,2,2,2,0,"Bán gấp CH 2PN, 2VS, 109m2 tại The Garden, 7,25 tỷ, Nam Từ Liêm, Hà Nội",0.0,66.5137614678899
100.0,0,0,5.0,1680.0,0,2,0,0,0,Bán lô đất đẹp đường Mai Thị Lựu giá tốt,5.0,16.8
120.0,0,0,6.0,750.0,0,2,0,0,0,Cần bán gấp đất gần chợ đêm Tây Ninh MT Đ. Cách Mạng Tháng Tám Phường 1 Tây Ninh 120m2/750tr SHR,10.0,6.25
79.0,0,0,5.0,890.0,0,2,0,0,0,"Bán đất kiệt ô tô Nguyễn Du, Phường 5, Tp. Đông Hà",6.0,11.265822784810126
30.0,0,0,0.0,2490.0,2,1,1,1,0,"Chính chủ thiện chí bán OT Tresor 30m2 giá 2ty485, full NT có sẵn HĐT. LH em Như xem nhà",0.0,83.0
79.0,0,0,0.0,4140.0,1,2,3,2,0,"Chỉ 4,1 tỷ sở hữu căn góc 3 ngủ full nội thất cao cấp, tầng cao, sẵn sổ, trung tâm Việt Hưng, LB",0.0,52.40506329113924
60.0,0,0,0.0,6100.0,2,2,3,3,3,KHÔNG GIAN SỐNG TUYỆT VỜI - DT KHỦNG 60m2 - SAU LƯNG CĂN MẶT TIỀN - GIÁP SÂN BAY - NGUYỄN THÁI SƠN,0.0,101.66666666666667
36.0,0,0,0.0,980.0,1,2,2,2,1,"Chính chủ bán nhanh nhà 1 lầu ngay ngã 3 Tân Kim, ô tô đậu trước nhà giá chỉ 980tr",0.0,27.22222222222222
120.0,0,0,7.0,700.0,0,2,0,0,0,"BÁN NHANH MTĐ. LÝ THƯỜNG KIỆT GẦN CHỢ CAO LÃNH , ĐỒNG THÁP ,120M2,700TR, SANG TÊN TRONG NGÀY",0.0,5.833333333333333
255.4,0,0,0.0,2000.0,0,1,0,0,0,"Bán gấp đất nền 255.4m2 tại Xã Hòa Long, Bà Rịa, 2 tỷ VND",0.0,7.830853563038371
39.0,0,0,3.0,6600.0,0,2,4,4,5,bán nhanh nhà nguyễn văn cừ 5 tầng mới - 4 thoáng - ô tô đỗ cửa,0.0,169.23076923076923
120.0,0,0,0.0,500.0,0,2,0,0,0,"Vị trí đẹp mặt tiền đường Huỳnh Thúc Kháng, P7 cách chợ nổi Cà Mau 400m di chuyển. DT 120m2/500tr",0.0,4.166666666666667
69.0,0,0,0.0,12500.0,2,2,2,2,0,"Cần bán gấp Vinhomes Ba Son Quận 1 căn hộ 2PN Sổ hồng sẵn, view sông Bitexco ngắm pháo hoa.",0.0,181.15942028985506
115.0,5,0,0.0,11000.0,2,2,3,2,0,"Bán căn hộ cao cấp Green Valley, Phú Mỹ Hưng. Căn góc 3 mặt tiền, sổ hồng có ô xe, nội thất cao cấp",0.0,95.65217391304348
35.0,0,0,0.0,1590.0,2,2,1,1,0,THANH TOÁN CHỈ 10% CHỈ 159 TRIỆU ĐẾN KHI NHẬN NHÀ - BÀN GIAO FULL NỘI THẤT - NHẬN BOOKING NGAY,0.0,45.42857142857143
75.0,0,0,0.0,6600.0,0,2,2,2,0,Ban quản lý Kosmo quỹ căn từ 6 - 10tỷ tổng hợp 20 căn làm việc chính chủ nhà thỏa thuận trực tiếp,0.0,88.0
48.0,0,0,4.0,4650.0,0,2,4,3,3,Nhà 4.65 tỷ 3 tầng 4pn hẻm xe hơi cách mặt tiền 80m cách Phú Mỹ Hưng quận 7 5 phút,5.0,96.875
80.0,0,0,5.0,5700.0,0,1,3,3,2,"Chính chủ bán nhà DT: 5x15m giá 5 tỷ 7, 2lầu, HBC, TĐ, 0908 284 *** 0908 016 ***",4.0,71.25
48.0,0,0,0.0,4000.0,2,2,2,2,2,"Bán nhà đẹp Nguyễn Thái Sơn, P4, Gò Vấp, 48m2, 2 tầng BTCT, hẻm xe hơi 4m sát mặt tiền, chỉ 4 tỷ TL",0.0,83.33333333333333
88.0,0,0,0.0,7000.0,2,2,2,2,0,"Cần tiền bán nhanh căn hộ Green Valley, PMH, Q7 nhà đẹp, vào ở ngay. LH: 0917 300 ***",0.0,79.54545454545455
74.24,0,0,0.0,3800.0,1,2,2,2,0,"Rẻ nhất Quận 7 - Lavida Plus CK lên đến 5%, hỗ trợ lãi suất 18th và ân hạn gốc lên đến 24th",0.0,51.18534482758621
55.0,0,0,0.0,5300.0,2,2,2,2,0,"Bán căn hộ mini Duplex 2x 55m2, 2PN, 2WC tại The Zen Gamuda Gardens, 5,3 tỷ, Hoàng Mai, Hà Nội",0.0,96.36363636363636
67.0,0,0,0.0,4100.0,2,1,2,2,0,Chính chủ bán gấp - 2PN - Richmond City - 67m2 - lầu cao view đẹp - 4tỷ1 - gọi em Bá 0904 609 ***,0.0,61.19402985074627
141.0,0,0,0.0,7800.0,0,1,4,2,0,"Bán nhanh Grand Riverside 141m2 4PN, căn góc 3 bancol 7,8 tỷ giá thật. LH: 0983 568 *** gặp Tín",0.0,55.319148936170215
117.0,0,0,0.0,7800.0,2,1,3,2,0,"Bán gấp căn hộ 3PN, 2WC tại The Gold View, Đường Bến Vân Đồn, Quận 4, 7,8 tỷ",0.0,66.66666666666667
